Variable,Bin,Points
NF_AS_Accel_5Y,0,0
NF_AS_Accel_5Y,1,14
NF_AS_Sum_10Y,0,0
NF_AS_Sum_10Y,1,8
NF_Age_Years,0,0
NF_Age_Years,1,32
NF_FP,0,0
NF_FP,1,26
NF_FP_Range_5Y,0,0
NF_FP_Range_5Y,1,15
NF_FP_Range_5Y,2,20
NF_FP_Range_5Y,3,25
NF_FP_Range_5Y,4,28
NF_FP_Range_5Y,5,28
NF_FP_Range_5Y,6,44
NF_FP_Range_5Y,7,44
NF_FP_Range_5Y,8,44
NF_FP_Range_5Y,9,44
NF_FP_Skew_3Y,0,0
NF_FP_Skew_3Y,1,8
NF_FP_Skew_5Y,0,0
NF_FP_Skew_5Y,1,11
NF_Gap_FP_AS,0,0
NF_Gap_FP_AS,1,23
NF_Gap_FP_AS,2,30
NF_Gap_FP_AS,3,35
NF_Gap_FP_AS,4,35
NF_Gap_FP_AS,5,38
NF_Gap_FP_AS,6,56
NF_MS_Skew_10Y,0,0
NF_MS_Skew_10Y,1,13
